Date,GLD,HYG,SPY,TLT,VB,VNQ
2013-02-15,155.75999450683594,49.02569961547852,122.49700927734376,84.66004180908203,73.72464752197266,42.460262298583984
2013-02-19,155.3300018310547,49.07295989990234,123.41509246826172,84.23857116699219,74.38520812988281,42.79753112792969
2013-02-20,151.44000244140625,49.02569961547852,121.87689971923828,84.4928970336914,73.08078002929688,42.521575927734375
2013-02-21,152.6199951171875,49.07818603515625,121.13597869873048,84.98702239990234,72.31153106689453,42.20270538330078
2013-02-22,152.97000122070312,49.19888687133789,122.3198013305664,85.04521942138672,73.0556640625,42.62583541870117
2013-02-25,154.33999633789062,49.04666519165039,119.99252319335938,86.71661376953125,71.55061340332031,41.81637954711914
2013-02-26,156.22000122070312,49.28805541992188,120.81391143798828,86.21515655517578,71.90177154541016,42.104583740234375
2013-02-27,154.57000732421875,49.3720817565918,122.3359375,85.96082305908203,72.82158660888672,42.41120147705078
2013-02-28,153.0,49.35107803344727,122.09437561035156,86.12065887451172,72.8466567993164,42.36826705932617
2013-03-01,152.44000244140625,49.44921875,122.49700927734376,86.5896987915039,72.94700622558594,42.50931930541992
2013-03-04,152.3000030517578,49.454498291015625,123.14933013916016,86.13086700439453,73.1894760131836,42.82819747924805
2013-03-05,152.3800048828125,49.55469512939453,124.25260925292967,85.8832778930664,74.03402709960938,43.16547775268555
2013-03-06,153.22999572753906,49.5230712890625,124.4217300415039,85.10408782958984,74.23466491699219,43.03668975830078
2013-03-07,152.69000244140625,49.59696578979492,124.647216796875,84.44863891601562,74.51062774658203,42.83432769775391
2013-03-08,152.7100067138672,49.65498733520508,125.17868041992188,83.56742095947266,75.18793487548828,42.90791320800781
2013-03-11,152.99000549316406,49.62328720092773,125.6538543701172,83.64754486083984,75.2464370727539,42.94472503662109
2013-03-12,154.19000244140625,49.60222244262695,125.37200164794922,84.25199890136719,75.095947265625,42.785274505615234
2013-03-13,153.66000366210938,49.6127815246582,125.5491714477539,84.16459655761719,75.44712829589844,42.82819747924805
2013-03-14,153.67999267578125,49.80270004272461,126.2175750732422,83.90972137451172,76.11605072021484,43.098026275634766
2013-03-15,154.0,49.79740905761719,126.05095672607422,84.3029556274414,76.00735473632812,43.19614791870117
2013-03-18,155.3800048828125,49.8079948425293,125.3552703857422,84.94386291503906,75.68962097167969,42.956993103027344
2013-03-19,156.0800018310547,49.723541259765625,125.06404113769533,85.51915740966797,75.37188720703125,42.74848175048828
2013-03-20,155.3699951171875,49.88714218139648,125.93769073486328,84.56512451171875,76.03839874267578,42.883399963378906
2013-03-21,156.25,49.79740905761719,124.8618392944336,85.38076782226562,75.46974182128906,42.75461959838867
2013-03-22,155.5500030517578,49.76052474975586,125.86492156982422,85.44636535644531,75.65373229980469,42.97954559326172
2013-03-25,155.24000549316406,49.686622619628906,125.33909606933594,85.36619567871094,75.60356140136719,42.98573303222656
2013-03-26,154.72000122070312,49.77633666992188,126.34215545654295,85.46820068359375,75.9548110961914,43.35651397705078
2013-03-27,155.36000061035156,49.69190979003906,126.34215545654295,86.19644165039062,76.08860778808594,43.43684768676758
2013-03-28,154.4499969482422,49.78160858154297,126.7304229736328,85.75947570800781,76.23076629638672,43.58516693115234
2013-04-01,154.6699981689453,49.8707160949707,126.22886657714844,86.4053726196289,75.49481201171875,43.71492385864258
2013-04-02,152.42999267578125,49.833587646484375,126.8517837524414,86.05506134033203,75.12683868408203,43.85087585449219
2013-04-03,150.72999572753906,49.833587646484375,125.5656280517578,86.82872772216797,73.93089294433594,43.69639205932617
2013-04-04,150.2899932861328,49.81769943237305,126.07521057128906,87.86505126953125,74.47450256347656,44.40705108642578
2013-04-05,152.80999755859375,49.86540985107422,125.50899505615234,89.63855743408203,74.33232116699219,44.6480598449707
2013-04-08,152.16000366210938,49.918434143066406,126.35834503173828,88.95249938964844,74.9762954711914,45.00647735595703
2013-04-09,153.33999633789062,50.07756042480469,126.7951202392578,88.7335433959961,74.96791076660156,45.01266098022461
2013-04-10,150.75,50.23664855957031,128.34823608398438,87.51469421386719,76.05516052246094,45.29074096679688
2013-04-11,151.0500030517578,50.23664855957031,128.76885986328125,87.6825942993164,76.35625457763672,45.55647277832031
2013-04-12,143.9499969482422,50.2525749206543,128.45335388183594,88.98902130126953,76.03007507324219,45.66770553588867
2013-04-15,131.30999755859375,49.93434524536133,125.47661590576172,89.76263427734375,73.4625473022461,44.72223281860352
2013-04-16,132.8000030517578,50.27910232543945,127.3289566040039,89.0255126953125,74.62501525878906,45.46379089355469
2013-04-17,132.8699951171875,50.199554443359375,125.46855926513672,89.61665344238281,73.37055969238281,44.981781005859375
2013-04-18,134.3000030517578,50.1199836730957,124.68392944335938,89.83563232421875,72.94403839111328,44.913795471191406
2013-04-19,135.47000122070312,50.09348678588867,125.7677764892578,89.64582824707031,73.71343231201172,45.605899810791016
2013-04-22,137.89999389648438,50.21018600463867,126.32595825195312,89.71153259277344,73.97269439697266,45.54411315917969
2013-04-23,136.8800048828125,50.40639877319336,127.62834930419922,89.3976821899414,74.90941619873047,45.7974853515625
2013-04-24,138.3699951171875,50.4965705871582,127.709228515625,89.62397003173828,75.31082153320312,45.8963508605957
2013-04-25,141.6300048828125,50.634422302246094,128.2269287109375,89.2371597290039,75.76243591308594,45.74185943603516
2013-04-26,140.91000366210938,50.5814094543457,128.00038146972656,90.05462646484375,75.49481201171875,45.59354782104492
2013-04-29,142.3000030517578,50.6768798828125,128.85784912109375,89.72615814208984,75.98823547363281,45.98288345336914
2013-04-30,142.77000427246094,50.835968017578125,129.16526794433594,89.77720642089844,76.45657348632812,46.52050018310547
2013-05-01,141.11000061035156,50.73898696899414,128.03274536132812,90.69949340820312,75.009765625,46.14972686767578
2013-05-02,141.9199981689453,51.064083099365234,129.2218475341797,90.58246612548828,75.98823547363281,46.4525146484375
2013-05-03,142.08999633789062,51.14401626586914,130.5322723388672,88.44680786132812,77.03365325927734,46.637916564941406
2013-05-06,142.14999389648438,51.17601776123047,130.8638916015625,88.22740936279297,77.54378509521484,46.878902435302734
2013-05-07,140.3800048828125,51.13870620727539,131.52719116210938,87.8836441040039,78.17105102539062,47.13847351074219
2013-05-08,142.4600067138672,51.31992721557617,132.12576293945312,88.02262878417969,78.48047637939453,47.16318893432617
2013-05-09,140.80999755859375,51.17072677612305,131.7537078857422,87.79595184326172,78.19612884521484,46.854190826416016
2013-05-10,139.60000610351562,50.90421295166016,132.18246459960938,86.85240173339844,78.85684204101562,47.02723693847656
2013-05-13,138.42999267578125,50.69635391235352,132.28762817382812,86.18687438964844,78.78993225097656,47.24970245361328
2013-05-14,137.80999755859375,50.749629974365234,133.65464782714844,85.25069427490234,79.73499298095703,47.4227294921875
2013-05-15,134.6300048828125,50.75497817993164,134.3745574951172,85.8211669921875,79.99421691894531,47.89238739013672
2013-05-16,134.08999633789062,50.87757110595703,133.74362182617188,86.71346282958984,79.6680679321289,47.64519882202149
2013-05-17,131.07000732421875,50.87757110595703,135.03781127929688,85.61630249023438,80.52947998046875,47.91093063354492
2013-05-20,135.1199951171875,50.93085479736328,135.0297393798828,85.51393127441406,80.71346282958984,48.02215576171875
2013-05-21,132.8800048828125,51.02676773071289,135.2238311767578,86.18687438964844,80.8305435180664,48.2940788269043
2013-05-22,131.94000244140625,50.71235656738281,134.2208251953125,84.90687561035156,79.43387603759766,47.119930267333984
2013-05-23,134.61000061035156,50.573760986328125,133.83258056640625,85.30914306640625,79.43387603759766,46.23623275756836
2013-05-24,133.75999450683594,50.47785568237305,133.71932983398438,85.42620086669922,79.22480773925781,46.11883163452149
2013-05-28,133.49000549316406,50.291290283203125,134.52012634277344,83.26130676269531,80.14478302001953,45.72332000732422
2013-05-29,134.8300018310547,50.08873748779297,133.64651489257812,84.19746398925781,79.3753433227539,44.75310897827149
2013-05-30,136.6999969482422,50.19002151489258,134.1399688720703,83.99266815185547,79.95243072509766,44.33290863037109
2013-05-31,133.9199981689453,49.52382278442383,132.21473693847656,83.70744323730469,79.20809173583984,43.73964691162109
2013-06-03,136.50999450683594,49.48042297363281,132.94273376464844,84.15103149414062,79.3167724609375,43.98683547973633
2013-06-04,135.22999572753906,49.48042297363281,132.3037109375,83.37382507324219,78.70628356933594,43.37504959106445
2013-06-05,135.52000427246094,49.05183792114258,130.4513702392578,84.5248794555664,77.61906433105469,43.016632080078125
2013-06-06,136.52999877929688,49.43756866455078,131.63233947753906,84.47358703613281,78.44701385498047,43.70875549316406
2013-06-07,133.27999877929688,49.46969604492188,133.30679321289062,82.9632797241211,79.2415542602539,43.71492385864258
2013-06-10,133.94000244140625,49.36787796020508,133.30679321289062,82.56739044189453,79.46736907958984,43.33796310424805
2013-06-11,133.25,49.062538146972656,131.931640625,83.54975128173828,78.55574798583984,42.69528198242188
2013-06-12,134.25,49.10003280639648,130.8396453857422,82.3547592163086,77.84487915039062,42.11440658569336
2013-06-13,133.74000549316406,49.66256332397461,132.82957458496094,83.64508819580078,79.2499008178711,43.20819854736328
2013-06-14,134.42999267578125,49.72150802612305,131.9963836669922,83.4471435546875,78.86518859863281,43.36885833740234
2013-06-17,133.77000427246094,49.71615219116211,133.01560974121094,83.00730895996094,79.3167724609375,43.492462158203125
2013-06-18,132.1300048828125,49.839351654052734,134.06715393066406,83.0512924194336,80.10293579101562,43.71492385864258
2013-06-19,130.58999633789062,49.094669342041016,132.21473693847656,82.19346618652344,78.99900817871094,42.37393951416016
2013-06-20,123.5999984741211,48.61251449584961,128.93870544433594,80.84447479248047,76.98346710205078,40.61273956298828
2013-06-21,125.0500030517578,48.29643630981445,129.35263061523438,79.47347259521484,76.95003509521484,41.1627311706543
2013-06-24,123.93000030517578,47.7017822265625,127.71813201904295,79.80347442626953,76.07189178466797,40.9761962890625
2013-06-25,123.47000122070312,48.38216018676758,128.94601440429688,79.09228515625,76.91654205322266,41.662445068359375
2013-06-26,118.27999877929688,48.783958435058594,130.22276306152344,79.60547637939453,77.44345092773438,42.292579650878906
2013-06-27,115.94000244140624,49.01970291137695,130.98707580566406,80.41921997070312,78.62264251708984,43.14104080200195
2013-06-28,119.11000061035156,48.687530517578125,130.45045471191406,80.96913146972656,78.37179565429688,42.87277603149414
